	geneID	CpG	mix	mean	quantile	alpha 0.10	alpha 0.05	alpha 0.01	count
0	WDR91	1	mix_1	0.085	(-0.015, 1.334)	0.0	0.0	0.0	100
1	WDR91	2	mix_1	0.033	(-0.015, 0.469)	0.0	0.0	0.0	100
2	WDR91	4	mix_1	0.491	(-0.015, 4.827)	4.0	0.0	0.0	100
3	WDR91	8	mix_1	5.795	(-0.015, 20.768)	44.0	40.0	23.0	100
4	WDR91	1	mix_2	0.353	(-0.015, 2.457)	2.0	1.0	0.0	100
5	WDR91	2	mix_2	0.628	(-0.015, 6.052)	4.0	3.0	2.0	100
6	WDR91	4	mix_2	2.984	(-0.015, 12.883)	24.0	18.0	8.0	100
7	WDR91	8	mix_2	12.593	(-0.015, 32.643)	85.0	79.0	58.0	100
8	WDR91	1	mix_3	8.767	(-120.878, 230.841)	11.0	9.0	9.0	100
9	WDR91	2	mix_3	-13.836	(-114.645, 57.704)	8.0	6.0	5.0	100
10	WDR91	4	mix_3	5.085	(-131.317, 73.381)	45.0	40.0	19.0	100
11	WDR91	8	mix_3	1.476	(-123.545, 34.084)	82.0	76.0	63.0	100
12	WDR91	1	mix_4	0.133	(-0.015, 1.384)	1.0	0.0	0.0	100
13	WDR91	2	mix_4	0.236	(-0.015, 2.586)	0.0	0.0	0.0	100
14	WDR91	4	mix_4	1.568	(-0.015, 7.969)	9.0	7.0	2.0	100
15	WDR91	8	mix_4	8.717	(0.119, 24.122)	65.0	54.0	36.0	100
16	WDR91	1	mix_5	2.541	(-0.0, 11.003)	21.0	12.0	3.0	100
17	WDR91	2	mix_5	1.619	(-0.0, 14.76)	36.0	21.0	9.0	100
18	WDR91	4	mix_5	6.601	(0.049, 24.787)	69.0	60.0	42.0	100
19	WDR91	8	mix_5	20.741	(4.369, 48.222)	97.0	93.0	86.0	100
20	GPAM	1	mix_1	0.066	(-0.017, 0.685)	1.0	0.0	0.0	100
21	GPAM	2	mix_1	0.017	(-0.017, 0.362)	0.0	0.0	0.0	100
22	GPAM	4	mix_1	0.822	(-0.017, 6.728)	7.0	4.0	1.0	100
23	GPAM	8	mix_1	7.786	(-0.017, 30.912)	49.0	43.0	36.0	100
24	GPAM	1	mix_2	0.336	(-0.017, 2.475)	1.0	0.0	0.0	100
25	GPAM	2	mix_2	0.7	(-0.017, 5.164)	5.0	1.0	0.0	100
26	GPAM	4	mix_2	3.231	(-0.017, 10.113)	34.0	24.0	5.0	100
