			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
			mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile
geneID	CpG	mix
CSRP2BP	1.0	mix_1	10.021	(9.548, 10.437)	2.714	(2.458, 2.935)	3.928	(3.048, 5.033)	15.546	(11.539, 20.499)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.075	(0.063, 0.088)	0.11	(0.099, 0.123)	0.136	(0.124, 0.148)	0.158	(0.146, 0.171)	0.18	(0.169, 0.193)	0.203	(0.191, 0.216)	0.228	(0.212, 0.242)	0.258	(0.24, 0.275)	0.297	(0.274, 0.318)	0.366	(0.333, 0.399)
CSRP2BP	1.0	mix_2	14.779	(14.156, 15.478)	2.71	(2.506, 2.93)	19.912	(10.506, 56.518)	19.989	(9.808, 57.222)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.362	(0.318, 0.42)	0.412	(0.379, 0.449)	0.443	(0.413, 0.469)	0.468	(0.439, 0.49)	0.49	(0.466, 0.512)	0.512	(0.49, 0.536)	0.534	(0.508, 0.564)	0.559	(0.526, 0.594)	0.59	(0.544, 0.632)	0.64	(0.574, 0.696)
CSRP2BP	1.0	mix_3	19.479	(18.41, 20.501)	2.7	(2.487, 2.881)	24.75	(2.754, 99.0)	6.327	(0.571, 26.669)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.625	(0.262, 0.732)	0.696	(0.617, 0.766)	0.736	(0.694, 0.787)	0.763	(0.726, 0.811)	0.799	(0.75, 0.837)	0.827	(0.779, 0.942)	0.847	(0.796, 0.956)	0.868	(0.807, 0.969)	0.89	(0.82, 0.981)	0.922	(0.843, 0.993)
CSRP2BP	1.0	mix_4	14.288	(13.613, 15.23)	2.739	(2.568, 2.915)	2.035	(1.76, 2.332)	2.304	(1.955, 2.777)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.125	(0.107, 0.144)	0.225	(0.205, 0.244)	0.301	(0.283, 0.32)	0.368	(0.346, 0.391)	0.433	(0.407, 0.458)	0.496	(0.467, 0.524)	0.562	(0.53, 0.592)	0.634	(0.597, 0.665)	0.716	(0.677, 0.749)	0.831	(0.793, 0.863)
CSRP2BP	1.0	mix_5	18.067	(17.31, 18.904)	2.715	(2.536, 2.94)	4.969	(3.661, 7.042)	2.196	(1.574, 3.471)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.394	(0.349, 0.441)	0.511	(0.475, 0.551)	0.586	(0.556, 0.619)	0.647	(0.618, 0.682)	0.695	(0.658, 0.731)	0.738	(0.696, 0.775)	0.78	(0.735, 0.817)	0.822	(0.775, 0.858)	0.867	(0.82, 0.902)	0.925	(0.879, 0.954)
CSRP2BP	2.0	mix_1	10.728	(10.302, 11.233)	2.941	(2.723, 3.204)	3.796	(2.89, 5.152)	14.917	(11.406, 20.18)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.073	(0.061, 0.091)	0.109	(0.097, 0.126)	0.135	(0.123, 0.15)	0.158	(0.146, 0.172)	0.18	(0.169, 0.192)	0.204	(0.192, 0.215)	0.229	(0.217, 0.243)	0.259	(0.246, 0.277)	0.299	(0.283, 0.322)	0.37	(0.345, 0.404)
CSRP2BP	2.0	mix_2	15.859	(15.258, 16.489)	2.952	(2.724, 3.202)	14.847	(8.994, 27.385)	14.555	(8.651, 26.86)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.35	(0.305, 0.398)	0.406	(0.372, 0.437)	0.441	(0.413, 0.465)	0.468	(0.446, 0.491)	0.493	(0.472, 0.518)	0.518	(0.493, 0.543)	0.543	(0.514, 0.571)	0.571	(0.534, 0.603)	0.605	(0.561, 0.643)	0.66	(0.606, 0.704)
CSRP2BP	2.0	mix_3	20.682	(16.857, 21.793)	2.962	(2.771, 3.207)	14.765	(0.009, 68.854)	3.741	(0.006, 16.755)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.589	(0.0, 0.711)	0.671	(0.0, 0.759)	0.715	(0.0, 0.789)	0.76	(0.595, 0.819)	0.802	(0.766, 0.934)	0.836	(0.785, 1.0)	0.863	(0.808, 1.0)	0.886	(0.825, 1.0)	0.911	(0.845, 1.0)	0.943	(0.87, 1.0)
CSRP2BP	2.0	mix_4	15.268	(14.489, 16.115)	2.964	(2.747, 3.225)	2.012	(1.773, 2.277)	2.219	(1.839, 2.655)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.126	(0.109, 0.143)	0.228	(0.209, 0.248)	0.306	(0.283, 0.327)	0.374	(0.349, 0.401)	0.44	(0.411, 0.472)	0.504	(0.474, 0.541)	0.571	(0.539, 0.61)	0.643	(0.61, 0.684)	0.726	(0.692, 0.767)	0.84	(0.806, 0.876)
CSRP2BP	2.0	mix_5	19.376	(18.618, 20.238)	2.96	(2.727, 3.2)	4.483	(3.783, 5.927)	1.888	(1.435, 2.435)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.389	(0.345, 0.432)	0.518	(0.474, 0.548)	0.598	(0.555, 0.625)	0.656	(0.618, 0.683)	0.706	(0.668, 0.736)	0.752	(0.713, 0.783)	0.795	(0.757, 0.827)	0.838	(0.801, 0.87)	0.883	(0.849, 0.914)	0.939	(0.913, 0.962)
CSRP2BP	4.0	mix_1	11.105	(10.703, 11.636)	3.08	(2.839, 3.338)	3.339	(2.592, 4.222)	12.441	(9.409, 15.744)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.07	(0.058, 0.084)	0.109	(0.098, 0.121)	0.137	(0.127, 0.148)	0.162	(0.151, 0.172)	0.187	(0.176, 0.198)	0.212	(0.202, 0.225)	0.241	(0.228, 0.256)	0.274	(0.258, 0.292)	0.318	(0.297, 0.343)	0.397	(0.365, 0.431)
CSRP2BP	4.0	mix_2	16.577	(15.997, 17.327)	3.155	(2.937, 3.398)	9.353	(6.433, 15.388)	8.717	(5.7, 14.153)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.325	(0.29, 0.375)	0.394	(0.369, 0.429)	0.437	(0.412, 0.464)	0.472	(0.449, 0.496)	0.504	(0.48, 0.527)	0.534	(0.51, 0.559)	0.566	(0.539, 0.592)	0.6	(0.57, 0.63)	0.642	(0.604, 0.679)	0.709	(0.661, 0.757)
