			root	root	lambda	lambda	lambda_TBL	lambda_TBL	lambda_omega	lambda_omega	phi_A	phi_A	phi_C	phi_C	phi_G	phi_G	phi_T	phi_T	rho_AC	rho_AC	rho_AG	rho_AG
			mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile
geneID	CpG	omega
CSRP2BP	1	0.2	0.53	(0.033, 1.112)	0.96	(0.643, 1.36)	1.272	(1.1, 1.506)	3.468	(2.799, 4.152)	0.178	(0.149, 0.203)	0.298	(0.281, 0.315)	0.322	(0.297, 0.348)	0.175	(0.143, 0.201)	0.095	(0.076, 0.11)	0.28	(0.235, 0.317)
CSRP2BP	1	0.5	0.385	(0.021, 0.795)	0.672	(0.467, 0.94)	2.234	(1.989, 2.547)	5.843	(5.22, 6.396)	0.172	(0.134, 0.201)	0.306	(0.279, 0.33)	0.316	(0.297, 0.333)	0.171	(0.134, 0.199)	0.094	(0.085, 0.101)	0.28	(0.252, 0.303)
CSRP2BP	1	0.8	0.382	(0.04, 0.711)	0.99	(0.735, 1.309)	2.596	(2.424, 2.796)	7.154	(6.48, 7.813)	0.146	(0.12, 0.166)	0.306	(0.273, 0.338)	0.331	(0.317, 0.344)	0.17	(0.117, 0.21)	0.097	(0.09, 0.103)	0.276	(0.24, 0.307)
CSRP2BP	2	0.2	0.524	(0.043, 1.008)	1.81	(1.098, 2.848)	1.463	(1.238, 1.745)	3.243	(2.551, 3.952)	0.207	(0.178, 0.232)	0.3	(0.276, 0.323)	0.304	(0.285, 0.324)	0.168	(0.13, 0.199)	0.098	(0.085, 0.109)	0.275	(0.239, 0.306)
CSRP2BP	2	0.5	0.489	(0.036, 0.98)	2.249	(1.702, 2.917)	2.095	(1.881, 2.378)	6.125	(5.569, 6.638)	0.174	(0.147, 0.195)	0.31	(0.284, 0.335)	0.326	(0.314, 0.337)	0.158	(0.131, 0.179)	0.099	(0.091, 0.107)	0.267	(0.245, 0.285)
CSRP2BP	2	0.8	0.518	(0.049, 0.994)	2.047	(1.773, 2.334)	2.761	(2.561, 2.99)	7.211	(6.661, 7.727)	0.174	(0.144, 0.196)	0.304	(0.28, 0.326)	0.326	(0.316, 0.336)	0.161	(0.109, 0.202)	0.103	(0.096, 0.109)	0.263	(0.233, 0.288)
CSRP2BP	8	0.2	0.641	(0.039, 1.363)	10.705	(8.184, 13.246)	1.434	(1.167, 1.774)	3.682	(2.661, 4.853)	0.194	(0.175, 0.211)	0.325	(0.301, 0.349)	0.306	(0.29, 0.32)	0.177	(0.151, 0.2)	0.109	(0.098, 0.119)	0.248	(0.216, 0.275)
CSRP2BP	8	0.5	0.627	(0.069, 1.205)	8.951	(7.824, 10.076)	2.181	(1.947, 2.476)	5.56	(4.96, 6.169)	0.181	(0.169, 0.191)	0.332	(0.305, 0.358)	0.309	(0.299, 0.318)	0.182	(0.143, 0.215)	0.105	(0.099, 0.109)	0.252	(0.219, 0.283)
CSRP2BP	8	0.8	0.565	(0.042, 1.174)	8.119	(7.055, 9.24)	3.036	(2.794, 3.311)	6.141	(5.785, 6.47)	0.185	(0.162, 0.203)	0.303	(0.264, 0.342)	0.342	(0.331, 0.352)	0.174	(0.144, 0.198)	0.109	(0.105, 0.113)	0.25	(0.222, 0.275)
GPAM	1	0.2	0.512	(0.025, 1.033)	0.782	(0.541, 1.057)	1.296	(1.133, 1.496)	1.818	(1.538, 2.137)	0.214	(0.189, 0.233)	0.277	(0.256, 0.298)	0.26	(0.242, 0.279)	0.234	(0.21, 0.253)	0.081	(0.071, 0.09)	0.312	(0.274, 0.344)
GPAM	1	0.5	0.44	(0.013, 0.997)	1.088	(0.675, 1.607)	1.672	(1.308, 2.165)	4.045	(3.18, 4.904)	0.207	(0.186, 0.224)	0.296	(0.275, 0.317)	0.285	(0.271, 0.301)	0.197	(0.171, 0.216)	0.088	(0.076, 0.099)	0.283	(0.239, 0.323)
GPAM	1	0.8	0.365	(0.022, 0.765)	0.896	(0.584, 1.27)	2.071	(1.755, 2.539)	5.234	(4.268, 6.13)	0.212	(0.185, 0.235)	0.274	(0.255, 0.293)	0.287	(0.273, 0.304)	0.208	(0.177, 0.228)	0.101	(0.09, 0.112)	0.261	(0.22, 0.297)
GPAM	2	0.2	0.552	(0.022, 1.171)	2.13	(1.398, 3.087)	1.152	(0.986, 1.377)	1.989	(1.495, 2.528)	0.224	(0.2, 0.243)	0.289	(0.27, 0.308)	0.267	(0.25, 0.284)	0.21	(0.186, 0.231)	0.088	(0.078, 0.098)	0.301	(0.264, 0.332)
GPAM	2	0.5	0.476	(0.036, 0.953)	1.894	(1.289, 2.594)	1.8	(1.469, 2.226)	4.048	(3.209, 4.889)	0.214	(0.187, 0.237)	0.294	(0.274, 0.314)	0.266	(0.253, 0.281)	0.225	(0.196, 0.247)	0.087	(0.078, 0.096)	0.288	(0.255, 0.316)
GPAM	2	0.8	0.452	(0.018, 1.005)	2.196	(1.503, 3.04)	2.095	(1.743, 2.548)	5.107	(4.151, 5.977)	0.214	(0.185, 0.237)	0.289	(0.274, 0.304)	0.281	(0.269, 0.295)	0.215	(0.183, 0.239)	0.093	(0.088, 0.099)	0.273	(0.237, 0.303)
GPAM	8	0.2	0.489	(0.019, 1.067)	11.166	(8.8, 13.884)	1.15	(0.998, 1.359)	1.889	(1.454, 2.364)	0.206	(0.19, 0.221)	0.314	(0.288, 0.338)	0.286	(0.267, 0.303)	0.197	(0.181, 0.212)	0.095	(0.083, 0.105)	0.283	(0.244, 0.315)
GPAM	8	0.5	0.59	(0.019, 1.28)	7.994	(6.62, 9.401)	1.68	(1.45, 1.977)	4.095	(3.678, 4.514)	0.208	(0.192, 0.22)	0.293	(0.274, 0.312)	0.293	(0.282, 0.304)	0.215	(0.201, 0.226)	0.092	(0.085, 0.099)	0.273	(0.236, 0.304)
GPAM	8	0.8	0.623	(0.019, 1.384)	6.063	(4.635, 7.649)	1.982	(1.704, 2.331)	5.103	(4.648, 5.53)	0.237	(0.208, 0.257)	0.263	(0.245, 0.28)	0.3	(0.293, 0.308)	0.214	(0.194, 0.23)	0.092	(0.084, 0.098)	0.277	(0.25, 0.299)
HSPA4	1	0.2	0.423	(0.018, 0.871)	1.155	(0.74, 1.638)	1.253	(1.02, 1.551)	1.971	(1.337, 2.643)	0.318	(0.299, 0.337)	0.184	(0.164, 0.202)	0.245	(0.224, 0.268)	0.25	(0.229, 0.269)	0.102	(0.089, 0.112)	0.27	(0.225, 0.306)
HSPA4	1	0.5	0.363	(0.035, 0.639)	0.973	(0.644, 1.352)	1.576	(1.178, 2.081)	4.794	(4.032, 5.557)	0.326	(0.305, 0.344)	0.177	(0.162, 0.191)	0.241	(0.216, 0.269)	0.258	(0.238, 0.274)	0.089	(0.079, 0.1)	0.284	(0.244, 0.316)
HSPA4	1	0.8	0.348	(0.03, 0.622)	0.743	(0.485, 1.049)	1.916	(1.556, 2.398)	7.535	(6.744, 8.305)	0.311	(0.285, 0.335)	0.17	(0.157, 0.182)	0.256	(0.225, 0.291)	0.26	(0.24, 0.275)	0.088	(0.076, 0.099)	0.289	(0.263, 0.311)
HSPA4	2	0.2	0.464	(0.013, 1.032)	2.276	(1.47, 3.318)	1.259	(1.065, 1.52)	2.167	(1.649, 2.733)	0.3	(0.277, 0.324)	0.193	(0.171, 0.215)	0.248	(0.229, 0.267)	0.254	(0.237, 0.269)	0.09	(0.079, 0.1)	0.296	(0.256, 0.329)
HSPA4	2	0.5	0.372	(0.018, 0.758)	1.481	(0.953, 2.103)	1.593	(1.26, 2.002)	4.855	(3.962, 5.792)	0.325	(0.304, 0.346)	0.172	(0.155, 0.188)	0.25	(0.224, 0.279)	0.25	(0.232, 0.264)	0.087	(0.076, 0.098)	0.292	(0.247, 0.329)
HSPA4	2	0.8	0.374	(0.045, 0.652)	2.185	(1.483, 3.079)	1.936	(1.54, 2.453)	6.95	(6.199, 7.69)	0.321	(0.302, 0.34)	0.173	(0.157, 0.188)	0.267	(0.237, 0.299)	0.236	(0.221, 0.247)	0.093	(0.081, 0.103)	0.278	(0.245, 0.304)
