			tree	tree	kappa	kappa	p	p	q	q	p0	p0	p1	p1	w_p1	w_p1	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
			mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile	mean	quantile
geneID	CpG	mix
CSRP2BP	1.0	1.0	10.022	(9.553, 10.437)	2.714	(2.458, 2.935)	1.0	(0.998, 1.0)	3.947	(3.048, 5.205)	1.0	(1.0, 1.0)	0.0	(0.0, 0.002)	2.837	(1.0, 19.825)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.075	(0.063, 0.088)	0.11	(0.099, 0.123)	0.136	(0.124, 0.148)	0.158	(0.146, 0.171)	0.18	(0.168, 0.192)	0.203	(0.19, 0.215)	0.228	(0.212, 0.242)	0.257	(0.24, 0.274)	0.296	(0.274, 0.318)	0.365	(0.331, 0.398)
CSRP2BP	1.0	2.0	14.78	(14.156, 15.48)	2.71	(2.506, 2.931)	0.997	(0.98, 1.0)	22.401	(10.834, 65.329)	1.0	(1.0, 1.0)	0.003	(0.0, 0.02)	1.767	(1.0, 8.93)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.1	(0.098, 0.1)	0.366	(0.318, 0.42)	0.415	(0.379, 0.452)	0.444	(0.413, 0.472)	0.468	(0.439, 0.49)	0.489	(0.466, 0.512)	0.51	(0.485, 0.533)	0.532	(0.501, 0.559)	0.555	(0.518, 0.59)	0.585	(0.538, 0.627)	0.633	(0.568, 0.687)
CSRP2BP	1.0	3.0	19.595	(18.709, 20.502)	2.721	(2.489, 2.916)	0.617	(0.0, 1.0)	34.854	(0.005, 99.0)	1.0	(1.0, 1.0)	0.383	(0.0, 1.0)	1.086	(1.0, 1.637)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.429	(0.0, 0.743)	0.463	(0.0, 0.768)	0.488	(0.0, 0.789)	0.501	(0.0, 0.81)	0.513	(0.0, 0.836)	0.538	(0.0, 0.862)	0.553	(0.0, 0.947)	0.564	(0.0, 0.96)	0.576	(0.0, 0.973)	0.595	(0.0, 0.988)
CSRP2BP	1.0	4.0	14.289	(13.616, 15.226)	2.74	(2.568, 2.915)	1.0	(0.998, 1.0)	2.038	(1.76, 2.385)	1.0	(1.0, 1.0)	0.0	(0.0, 0.002)	2.481	(1.0, 13.633)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.125	(0.107, 0.144)	0.225	(0.205, 0.244)	0.301	(0.283, 0.32)	0.368	(0.346, 0.39)	0.432	(0.406, 0.458)	0.496	(0.463, 0.524)	0.562	(0.523, 0.592)	0.633	(0.592, 0.665)	0.716	(0.674, 0.749)	0.831	(0.791, 0.863)
CSRP2BP	1.0	5.0	18.087	(17.314, 18.911)	2.719	(2.538, 2.955)	0.884	(0.339, 1.0)	9.177	(1.76, 39.04)	1.0	(1.0, 1.0)	0.116	(0.0, 0.661)	1.115	(1.0, 1.51)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.088	(0.034, 0.1)	0.405	(0.162, 0.509)	0.499	(0.221, 0.56)	0.555	(0.245, 0.61)	0.599	(0.257, 0.662)	0.638	(0.268, 0.712)	0.673	(0.278, 0.755)	0.709	(0.288, 0.8)	0.745	(0.3, 0.845)	0.786	(0.308, 0.892)	0.846	(0.472, 0.947)
CSRP2BP	2.0	1.0	10.728	(10.302, 11.234)	2.941	(2.723, 3.204)	1.0	(0.999, 1.0)	3.805	(2.898, 5.153)	1.0	(1.0, 1.0)	0.0	(0.0, 0.001)	2.41	(1.0, 9.886)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.073	(0.061, 0.091)	0.109	(0.097, 0.126)	0.135	(0.123, 0.15)	0.158	(0.146, 0.172)	0.18	(0.169, 0.192)	0.204	(0.192, 0.215)	0.229	(0.217, 0.243)	0.259	(0.246, 0.277)	0.299	(0.282, 0.322)	0.37	(0.343, 0.404)
CSRP2BP	2.0	2.0	15.856	(15.259, 16.489)	2.955	(2.724, 3.202)	0.987	(0.964, 1.0)	16.29	(8.394, 37.235)	1.0	(1.0, 1.0)	0.013	(0.0, 0.036)	1.585	(1.0, 7.516)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.099	(0.096, 0.1)	0.351	(0.301, 0.41)	0.404	(0.367, 0.442)	0.437	(0.409, 0.465)	0.463	(0.443, 0.491)	0.487	(0.469, 0.518)	0.51	(0.489, 0.543)	0.536	(0.509, 0.571)	0.571	(0.529, 0.603)	0.603	(0.554, 0.643)	0.656	(0.596, 0.704)
CSRP2BP	2.0	3.0	20.899	(20.024, 21.795)	2.984	(2.77, 3.209)	0.621	(0.0, 1.0)	24.832	(0.005, 99.0)	1.0	(1.0, 1.0)	0.379	(0.0, 1.0)	1.088	(1.0, 1.904)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.062	(0.0, 0.1)	0.425	(0.0, 0.723)	0.471	(0.0, 0.757)	0.495	(0.0, 0.777)	0.512	(0.0, 0.802)	0.537	(0.0, 0.843)	0.554	(0.0, 0.874)	0.574	(0.0, 0.955)	0.587	(0.0, 0.968)	0.602	(0.0, 0.98)	0.624	(0.0, 0.993)
